ensembl_gene_id;gene_symbol
ENSRNOG00000061176;Nudt3
ENSRNOG00000002896;Prdx6
ENSRNOG00000021403;Rhob
ENSRNOG00000017708;AABR07073038.1
ENSRNOG00000006235;Nell2
ENSRNOG00000033916;AC141489.1
ENSRNOG00000046390;Tceal3
ENSRNOG00000022248;Fbxl16
ENSRNOG00000021027;Dbp
ENSRNOG00000030628;Eif4a1
ENSRNOG00000020417;Gsk3a
ENSRNOG00000057988;Pfkm
ENSRNOG00000009090;Dad1
ENSRNOG00000061270;Git1
ENSRNOG00000000701;Iscu
ENSRNOG00000032871;Mlc1
ENSRNOG00000010784;Scg3
ENSRNOG00000058938;Camkv
ENSRNOG00000045637;Rnf14
ENSRNOG00000002205;Ociad1
ENSRNOG00000013783;Efhd2
ENSRNOG00000019568;Jund
ENSRNOG00000014633;Vps28
ENSRNOG00000017279;Tmem50a
ENSRNOG00000017495;Klhdc3
ENSRNOG00000025481;Dctn2
ENSRNOG00000018020;Apbb1
ENSRNOG00000017829;Ssu72
ENSRNOG00000011414;Psmc3
ENSRNOG00000016781;Ppib
ENSRNOG00000029360;Serinc1
ENSRNOG00000018676;RGD1562987
ENSRNOG00000005614;Txn2
ENSRNOG00000049075;Fabp5
ENSRNOG00000023086;Arpp19
ENSRNOG00000014624;Selenok
ENSRNOG00000006557;Cyfip2
ENSRNOG00000013505;Vdac2
ENSRNOG00000017446;Ndufs8
ENSRNOG00000017023;Tcf25
ENSRNOG00000011175;Hnrnpa2b1
ENSRNOG00000033844;LOC100912195
ENSRNOG00000029726;Gstm1
ENSRNOG00000021338;Tmem132a
ENSRNOG00000019704;Resp18
ENSRNOG00000054352;Atp6ap1
ENSRNOG00000020487;Coa3
ENSRNOG00000018281;Uqcrfs1
ENSRNOG00000042421;RGD1559909
ENSRNOG00000019552;Lsm7
ENSRNOG00000007147;Cyp46a1
ENSRNOG00000007316;Idh3B
ENSRNOG00000009539;Khdrbs3
ENSRNOG00000042978;Ncald
ENSRNOG00000052549;Chga
ENSRNOG00000019551;Psmb6
ENSRNOG00000018700;Mobp
ENSRNOG00000016638;Gnb1
ENSRNOG00000038184;Camk2n2
ENSRNOG00000012329;Saraf
ENSRNOG00000017801;Atf4
ENSRNOG00000016592;Gnai2
ENSRNOG00000055068;Ppial4d
ENSRNOG00000036742;Uqcrc2
ENSRNOG00000024568;Ndufs7
ENSRNOG00000053456;Lage3
ENSRNOG00000018647;Mrpl20
ENSRNOG00000004883;Erh
ENSRNOG00000007808;Nap1l5
ENSRNOG00000000481;Cuta
ENSRNOG00000050410;Snrpd3
ENSRNOG00000007029;Dnaja1
ENSRNOG00000002773;Rgs4
ENSRNOG00000014765;Vapa
ENSRNOG00000014302;Dlgap3
ENSRNOG00000052256;Dact3
ENSRNOG00000007336;Churc1
ENSRNOG00000046227;Tprg1l
ENSRNOG00000002050;Igfbp7
ENSRNOG00000010263;Cldn11
ENSRNOG00000009823;Naa38
ENSRNOG00000058484;Anp32a
ENSRNOG00000047179;Aplp2
ENSRNOG00000018212;Abhd17a
ENSRNOG00000016653;Ngef
ENSRNOG00000016611;Hras
ENSRNOG00000047781;Slc25a23
ENSRNOG00000025179;AABR07045322.1
ENSRNOG00000020167;Reep5
ENSRNOG00000019381;Eri3
ENSRNOG00000003125;Rogdi
ENSRNOG00000003385;Glrx2
ENSRNOG00000017127;Rpl28
ENSRNOG00000036839;Hnrnpa1
ENSRNOG00000006756;Maged1
ENSRNOG00000016991;Arl2bp
ENSRNOG00000021663;Vxn
ENSRNOG00000011550;Kcnab2
ENSRNOG00000025235;Tmem130
ENSRNOG00000010912;Mrps25
ENSRNOG00000004608;Pam16
ENSRNOG00000050767;Nrn1
ENSRNOG00000000438;Rnf5
ENSRNOG00000043377;Fdps
ENSRNOG00000009155;Ndufs3
ENSRNOG00000050051;Pin4
ENSRNOG00000006532;H3f3a
ENSRNOG00000004526;Cox7a2l
ENSRNOG00000016723;Phpt1
ENSRNOG00000002389;Morf4l2
